C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2018-07-20T00:00:00.000Z,-0.784799337387085,1,0.42799974552462433,0.2060124015928603,1558,476,0.45885634422302246,0.22280946373939514,0.6256713271141052,6.192236598890944
2018-07-25T00:00:00.000Z,-1,0.83404541015625,0.45705217559556877,0.20317308561753086,1558,476,0.48691099882125854,0.31699347496032715,0.6247943043708801,0
2018-07-30T00:00:00.000Z,-0.9631410241127014,1,0.40332827232941615,0.24388880301297805,1558,476,0.467578649520874,0.07477819919586182,0.6236348152160645,11.182994454713489
2018-08-04T00:00:00.000Z,-0.937158465385437,0.9981878399848938,0.4254070028676452,0.1953868059922938,1558,476,0.4571428596973419,0.2533750832080841,0.6046218276023865,11.552680221811478
2018-08-09T00:00:00.000Z,-0.15618520975112915,0.5778374075889587,0.3277695927601748,0.09373407564221664,1558,476,0.3444375991821289,0.21114496886730194,0.4221683740615845,99.1682070240295
2018-08-14T00:00:00.000Z,-0.8798151016235352,1,0.2962005464816848,0.2629387322400789,1558,476,0.3465871512889862,-0.05696882680058479,0.569658100605011,25.60073937153421
2018-08-19T00:00:00.000Z,-0.9224629402160645,1,0.26303174465419965,0.26081541612993736,1558,476,0.31181252002716064,-0.09285714477300644,0.5481327772140503,30.406654343807745
2018-08-24T00:00:00.000Z,-0.7706323862075806,1,0.281014636699704,0.2374883893163174,1558,476,0.3233874440193176,-0.03423680365085602,0.5194621086120605,23.752310536044376
2018-08-29T00:00:00.000Z,-0.9656750559806824,0.9179884195327759,0.3453683803488914,0.20557521335197848,1558,476,0.37184464931488037,0.14979973435401917,0.5316230654716492,3.9741219963031424
2018-09-03T00:00:00.000Z,-1,0.780701756477356,0.3575820986368926,0.1630709057298122,1558,476,0.3786279559135437,0.2278480976819992,0.5073732733726501,0
2018-09-08T00:00:00.000Z,-1,1,0.3058983597971364,0.21011660753449157,1558,476,0.3369411826133728,0.12904833257198334,0.4808552861213684,4.066543438077638
2018-09-13T00:00:00.000Z,-1,0.6717767119407654,0.3158539704747789,0.1547461770981219,1558,476,0.33402618765830994,0.2050168812274933,0.45638373494148254,10.351201478743077
2018-09-18T00:00:00.000Z,-1,0.7442922592163086,0.2734636977544013,0.1679471944781687,1558,476,0.2917296588420868,0.12021701782941818,0.4450776278972626,11.64510166358597
2018-09-23T00:00:00.000Z,-0.8144000172615051,0.6254107356071472,0.2926673083867387,0.16193421734492253,1558,476,0.31437355279922485,0.17771415412425995,0.43567797541618347,0.36968576709796735
